"age","job","marital","education","balance","housing","duration","campaign",approval
"30","unemployed","married","primary","1787","no","79","1","no"
"33","services","married","secondary","4789","yes","220","1","no"
"35","management","single","tertiary","1350","yes","185","1","no"
"30","management","married","tertiary","1476","yes","199","4","no"
"59","blue-collar","married","secondary","0","yes","226","1","no"
"35","management","single","tertiary","747","no","141","2","no"
"36","self-employed","married","tertiary","307","yes","341","1","no"
"39","technician","married","secondary","147","yes","151","2","no"
"41","entrepreneur","married","tertiary","221","yes","57","2","no"
"43","services","married","primary","-88","yes","313","1","no"
"39","services","married","secondary","9374","yes","273","1","no"
"43","admin.","married","secondary","264","yes","113","2","no"
"36","technician","married","tertiary","1109","no","-328","2","no"
"20","student","single","secondary","502","no","261","1","yes"
"31","blue-collar","married","secondary","360","yes","89","1","no"
"40","management","married","tertiary","194","no","189","2","no"
"56","technician","married","secondary","4073","no","239","5","no"
"37","admin.","single","tertiary","2317","yes","114","1","no"
"25","blue-collar","single","primary","-221","","250","1","no"
"31","services","married","secondary","132","no","148","1","no"
"38","management","divorced","unknown","0","yes","-96","2","no"
"42","management","divorced","tertiary","16","no","140","3","no"
"44","services","single","secondary","106","no","109","2","no"
"44","entrepreneur","married","secondary","93","no","125","2","no"
"26","housemaid","married","tertiary","543","no","169","3","no"
"41","management","married","tertiary","5883","no","182","2","no"
"55","blue-collar","married","primary","627","yes","247","1","no"
"67","retired","married","unknown","696","no","119","1","no"
"56","self-employed","married","secondary","784","no","149","2","no"
"53","admin.","married","secondary","105","no","74","2","no"
"68","retired","divorced","secondary","4189","no","897","2","yes"
"31","technician","married","secondary","171","no","81","3","no"
"59","management","married","secondary","42","no","40","1","no"
"32","management","single","tertiary","2536","yes","958","6","yes"
"49","technician","married","tertiary","1235","no","354","3","yes"
"42","admin.","divorced","secondary","1811","yes","150","1","no"
"78","retired","divorced","primary","229","no","97","1","yes"
"32","blue-collar","married","secondary","2089","yes","132","1","yes"
"0","management","married","secondary","3935","yes","765","1","yes"
"23","services","single","tertiary","363","yes","16","18","no"
"38","management","single","tertiary","11971","yes","609","2","no"
"36","management","single","tertiary","553","no","106","2","no"
"52","blue-collar","married","secondary","1117","yes","365","1","no"
"32","technician","married","tertiary","396","yes","205","3","no"
"32","technician","single","tertiary","2204","yes","11","4","no"
"34","management","single","tertiary","872","yes","105","2","no"
"55","blue-collar","married","primary","145","no","59","3","no"
"26","blue-collar","married","primary","0","yes","425","1","no"
"32","entrepreneur","single","primary","-849","yes","204","1","no"
"","admin.","married","unknown","4629","yes","181","1","yes"
"45","blue-collar","divorced","primary","844","no","1018","3","yes"
"37","technician","single","secondary","228","yes","1740","2","no"
"38","technician","single","secondary","50","no","98","2","no"
"34","technician","married","tertiary","1539","yes","441","1","yes"
"53","blue-collar","married","secondary","2231","yes","272","3","no"
"48","admin.","married","secondary","3064","yes","159","2","no"
"57","management","married","secondary","82","no","140","1","no"
"33","self-employed","single","tertiary","2155","no","295","1","no"
"36","retired","single","secondary","101","yes","314","1","no"
"54","technician","divorced","secondary","784","","579","1","no"
"41","blue-collar","married","primary","-516","no","554","3","no"
"63","retired","married","secondary","415","yes","323","1","no"
"48","management","married","tertiary","5887","no","227","2","no"
"48","services","married","secondary","1355","no","134","2","no"
"56","admin.","married","secondary","16873","no","223","1","no"
"51","blue-collar","divorced","secondary","203","yes","134","1","no"
"31","services","married","secondary","338","yes","155","1","no"
"29","technician","married","secondary","444","yes","130","4","no"
"41","management","married","secondary","0","no","630","3","no"
"32","technician","single","tertiary","360","no","164","2","no"
"37","management","married","tertiary","0","no","268","2","yes"
"42","entrepreneur","divorced","tertiary","2","yes","380","1","no"
"31","management","single","tertiary","6248","yes","154","2","no"
"41","services","married","tertiary","412","yes","154","5","no"
"56","retired","married","secondary","344","yes","221","1","no"
"54","management","divorced","tertiary","3222","no","67","2","no"
"41","blue-collar","divorced","secondary","174","yes","367","2","no"
"40","technician","single","secondary","591","no","87","6","no"
"50","blue-collar","divorced","primary","388","no","701","1","no"
"40","unemployed","married","secondary","219","yes","204","2","no"
"27","admin.","divorced","secondary","451","yes","652","1","yes"
"60","retired","married","primary","5","no","63","2","no"
"28","admin.","single","secondary","177","yes","150","1","no"
"52","services","married","secondary","657","no","398","2","yes"
"37","management","married","tertiary","1315","no","224","1","yes"
"51","blue-collar","married","primary","1466","yes","406","2","no"
"41","technician","single","secondary","879","no","60","4","no"
"35","blue-collar","single","primary","293","yes","521","2","no"
"38","admin.","married","secondary","424","yes","279","1","no"
"34","blue-collar","married","secondary","1831","yes","203","2","no"
